# phiref ra dec tc mc q costheta_jn psi logdistance spin1 spin2 logL
2.736457426627111333e-01 3.626021656820463401e-01 -2.990035169705210216e-01 1.186302519753957987e+09 3.270310021506629283e+01 9.073449680049566757e-01 4.544718768686685784e-01 2.944753770473402366e+00 6.960474084453098342e+00 3.770937227667024716e-02 6.380315048764010344e-01 -1.495698999999999978e+04
4.627024755334734785e+00 3.157030111431891051e-01 -4.283972039527392806e-01 1.186302519751645565e+09 3.072260027727094212e+01 3.750737003162208927e-01 -7.679694118261697344e-01 1.584269978991264871e+00 6.750450642411101931e+00 3.563073208446310147e-01 1.923009103150751520e-01 -1.495695999999999913e+04
3.298035981648022918e+00 1.875476450431207420e-01 -3.344288554996793228e-01 1.186302519755080223e+09 3.179957038175065520e+01 8.372586089644828977e-01 -9.461343535373862856e-01 2.407508285559824657e+00 7.635500528608134552e+00 1.211557274671398732e-01 5.437953179174237484e-01 -1.495684000000000015e+04
3.470309806387741336e+00 2.502697872138715529e-01 -3.725568599874610198e-01 1.186302519752980232e+09 3.249893429391629951e+01 3.788688274423190339e-01 -9.170619929318837293e-01 3.029341161283977124e-01 7.374509053005534831e+00 4.663673603854445182e-01 3.707474435311563510e-01 -1.495681999999999971e+04
2.370301219759629596e+00 3.696202947873526989e-01 -4.322740287137648574e-01 1.186302519751381874e+09 2.891242595599149112e+01 4.066984855240503571e-01 -6.499414504198479658e-01 2.582923803844701549e+00 7.073801178727754824e+00 7.050359396067545914e-03 5.135990879701034517e-01 -1.495671999999999935e+04
2.911957413952604323e+00 2.916079668525378699e-01 -4.311266884612407480e-01 1.186302519750672340e+09 3.198620176614283039e+01 5.186753797238192742e-01 -7.890008027402027890e-01 2.931732703943145779e+00 6.978287436314408509e+00 2.166240620621278368e-01 5.203713281782459399e-01 -1.495671999999999935e+04
5.008024902369603737e+00 6.096822076798363854e-01 -2.288356618599076409e-01 1.186302519751978874e+09 3.064782047385918418e+01 6.608253804708090762e-01 -8.127357524569748248e-01 1.260365469070845901e+00 6.990854670031803941e+00 1.569858844372624129e-01 4.095843803555344609e-01 -1.495657999999999993e+04
3.405128995152003846e+00 2.732936935681311019e-01 -2.178278292032954921e-01 1.186302519755815268e+09 3.535227797453832466e+01 8.168377935221144970e-01 -9.798019112144722431e-01 2.781884772798902894e+00 7.615788232698110782e+00 4.133669450910399390e-01 7.041641717847760829e-01 -1.495647999999999956e+04
5.213794743004913634e+00 5.260849965848689580e-01 -8.814114397985033100e-02 1.186302519751635790e+09 3.155467087625282474e+01 3.993942213533361318e-01 -6.255328868951760546e-01 2.893684568948071689e+00 6.782114184921847588e+00 3.238304684930096156e-01 2.813534344433826773e-01 -1.495646999999999935e+04
1.140309779063215512e+00 5.490676481657339458e-01 -4.146152360520362623e-01 1.186302519750635624e+09 3.309153436089682998e+01 8.818684990970220294e-01 9.701357795744126600e-01 1.889167936164681816e+00 7.399417957109243993e+00 2.750834435390842603e-01 4.410106417705411119e-01 -1.495644000000000051e+04
2.853636513303634104e+00 3.085318270164090215e-01 -4.215350911400786438e-01 1.186302519752195835e+09 3.337562512317124686e+01 7.985781941078180513e-01 -9.705420882630096946e-01 1.978059677986768961e+00 7.480932870791922262e+00 2.076974948485350025e-01 7.749740499923029047e-01 -1.495643000000000029e+04
6.190219891595611479e+00 3.263397773066786800e-01 -5.137373368313248312e-01 1.186302519750939846e+09 3.116252463989228616e+01 8.065427373796192345e-01 5.448049773228972326e-01 1.303436650053283741e-01 6.744703238848585691e+00 3.037181910643019234e-02 5.643867853620596620e-01 -1.495634000000000015e+04
5.731400033005329853e+00 4.540677619364076323e-01 -2.946974910157144634e-01 1.186302519752403259e+09 3.475229620710309320e+01 8.614618756215701723e-01 -5.052615338447806748e-01 2.680679448137989418e+00 6.999006198249492883e+00 3.825150409654294870e-01 2.899850112119128909e-01 -1.495623999999999978e+04
3.618225477211594043e+00 2.524337776869490235e-01 -2.056834235365710140e-01 1.186302519754089117e+09 2.990429449720072697e+01 3.384856577412243550e-01 -9.061760290485103564e-01 1.139072991437431570e+00 7.250989152548848793e+00 2.197303388776358224e-01 4.479417390546568956e-01 -1.495620999999999913e+04
2.371454748581065974e+00 2.956966958093900089e-01 -3.186147279250822750e-01 1.186302519754858732e+09 3.504212888029969264e+01 8.075000073546144685e-01 -9.404304217327071891e-01 1.548627937598384685e+00 7.490187630982696021e+00 4.958534769606905424e-01 5.542431854108110789e-01 -1.495615999999999985e+04
2.283809374894700372e+00 3.823975689941838674e-01 -1.560231791706987170e-01 1.186302519752740860e+09 3.322477482322933895e+01 5.089241428797143252e-01 -7.240364385609281417e-01 2.491395539006671545e+00 7.374711524420749953e+00 3.555280529318389227e-01 4.428530106881500839e-01 -1.495613999999999942e+04
3.071164361158396083e+00 4.740913476421628192e-01 -4.051332075698895752e-01 1.186302519750799417e+09 3.355114663424452459e+01 6.049845803530935484e-01 -9.225107574675008859e-01 2.408710306499890486e+00 7.241881927239002259e+00 3.505129421721836502e-01 7.263126077826860261e-01 -1.495611000000000058e+04
1.707284828378457853e+00 3.706357385191000331e-01 -2.531956026981506680e-01 1.186302519751902103e+09 3.871634323016241552e+01 7.368817775593914376e-01 -7.007207285734511348e-01 2.302928832673865944e+00 7.227658783030678435e+00 6.455495912484494614e-01 2.974262230485922309e-01 -1.495604999999999927e+04
6.087123912548579874e-01 4.033892433893879748e-01 -3.269937259392188822e-01 1.186302519752072096e+09 3.172553886592457317e+01 7.284354088391057358e-01 6.289479287212023095e-01 2.303837174004522481e+00 7.080574959549486458e+00 1.541252770039146514e-01 4.551255068382605296e-01 -1.495604000000000087e+04
5.274991948658807495e+00 4.080405500752841697e-01 -2.361257851255097462e-01 1.186302519751444101e+09 3.022254422999582957e+01 3.716195311903562892e-01 7.870725993860268055e-01 3.058297136900019364e+00 7.024849518351693689e+00 2.357370471705348414e-01 2.836910196333582990e-01 -1.495604000000000087e+04
